train dataset: torch.Size([3, 80, 80]) (x791), 7
fs dataset: torch.Size([3, 80, 80]) (x41), 4
num params: 11.2M
epoch 66, train 0.0104|1.0000, val 0.7591|0.7020, 1.0s 1.5m/2.2m
epoch 67, train 0.0140|1.0000, val 0.8282|0.6854, 1.0s 1.5m/2.2m
epoch 68, train 0.0116|1.0000, val 0.7476|0.7311, 1.0s 1.5m/2.2m
epoch 69, train 0.0173|1.0000, val 0.7585|0.7140, 1.0s 1.5m/2.2m
epoch 70, train 0.0125|1.0000, val 0.7814|0.7061, fs 6: 0.1469, 1.8s 1.6m/2.2m
epoch 71, train 0.0280|0.9938, val 0.7604|0.7267, 1.0s 1.6m/2.2m
epoch 72, train 0.0120|1.0000, val 0.7770|0.7145, 1.0s 1.6m/2.2m
epoch 73, train 0.0155|1.0000, val 0.8098|0.7061, 1.0s 1.6m/2.2m
epoch 74, train 0.0167|1.0000, val 0.8106|0.7059, 1.0s 1.6m/2.2m
epoch 75, train 0.0153|1.0000, val 0.7823|0.7017, fs 6: 0.1344, 1.9s 1.7m/2.2m
epoch 76, train 0.0138|1.0000, val 0.8140|0.6978, 1.0s 1.7m/2.2m
epoch 77, train 0.0136|1.0000, val 0.7315|0.7181, 1.0s 1.7m/2.2m
epoch 78, train 0.0137|1.0000, val 0.7935|0.7103, 1.0s 1.7m/2.2m
epoch 79, train 0.0167|1.0000, val 0.7330|0.7223, 1.0s 1.8m/2.2m
epoch 80, train 0.0120|1.0000, val 0.8209|0.7020, fs 6: 0.1375, 1.7s 1.8m/2.2m
epoch 81, train 0.0140|1.0000, val 0.7756|0.7020, 1.0s 1.8m/2.2m
epoch 82, train 0.0134|1.0000, val 0.8076|0.7020, 1.0s 1.8m/2.2m
epoch 83, train 0.0162|1.0000, val 0.7199|0.7348, 1.0s 1.8m/2.2m
epoch 84, train 0.0110|1.0000, val 0.7712|0.7056, 1.0s 1.9m/2.2m
epoch 85, train 0.0119|1.0000, val 0.7950|0.7181, fs 6: 0.1406, 1.8s 1.9m/2.2m
epoch 86, train 0.0171|1.0000, val 0.7846|0.7017, 1.0s 1.9m/2.2m
